sample_id,run_id,medium,medium_id,sequence,phase,phase_name,phase_id,voltage,voltage_class,frame,time_ms,time_s,drive_freq_hz,cycle_phase_rad,sin_phase,cos_phase,v_applied,v_abs,angle_deg,angle_rad,delta_angle,direction,direction_id,amp_deg_model,tau_stim_s_model,tau_relax_s_model,noise_std_deg_model,img_relpath,img_filename,img_path,split
ACETONE(1%)__seq782__4.500V__R__f11,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,11,5000,5.0,0.22,6.911503837897545,0.5877852522924729,0.8090169943749476,0.0,0.0,4.438011818071968,0.07745791846777542,-0.7312884180868231,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f11.png,f11.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f11.png,test
ACETONE(1%)__seq782__4.500V__R__f12,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,12,5500,5.5,0.22,7.602654221687299,0.968583161128631,0.2486898871648554,0.0,0.0,3.7650300083566055,0.06571217008221239,-0.6729818097153624,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f12.png,f12.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f12.png,test
ACETONE(1%)__seq782__4.500V__R__f13,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,13,6000,6.0,0.22,8.293804605477053,0.90482705246602,-0.4257792915650717,0.0,0.0,3.028856267833191,0.0528635144433564,-0.7361737405234146,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f13.png,f13.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f13.png,test
ACETONE(1%)__seq782__4.500V__R__f14,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,14,6500,6.5,0.22,8.984954989266807,0.42577929156507394,-0.9048270524660189,0.0,0.0,2.368985026968143,0.04134658865104076,-0.6598712408650478,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f14.png,f14.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f14.png,test
ACETONE(1%)__seq782__4.500V__R__f15,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,15,7000,7.0,0.22,9.676105373056563,-0.24868988716485477,-0.9685831611286311,0.0,0.0,2.2890484023462423,0.03995143135845782,-0.07993662462190088,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f15.png,f15.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f15.png,test
ACETONE(1%)__seq782__4.500V__R__f16,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,16,7500,7.5,0.22,10.367255756846317,-0.8090169943749472,-0.5877852522924735,0.0,0.0,2.183770697814974,0.03811398878544543,-0.1052777045312685,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f16.png,f16.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f16.png,test
ACETONE(1%)__seq782__4.500V__R__f17,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,17,8000,8.0,0.22,11.058406140636071,-0.9980267284282716,0.0627905195293126,0.0,0.0,1.8416786652539783,0.03214335647241641,-0.3420920325609955,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f17.png,f17.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f17.png,test
ACETONE(1%)__seq782__4.500V__R__f18,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,18,8500,8.5,0.22,11.749556524425826,-0.7289686274214123,0.6845471059286878,0.0,0.0,1.3848814789569968,0.02417074155768816,-0.4567971862969815,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f18.png,f18.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f18.png,test
ACETONE(1%)__seq782__4.500V__R__f19,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,19,9000,9.0,0.22,12.44070690821558,-0.12533323356430578,0.9921147013144777,0.0,0.0,1.308270043787657,0.022833619769305005,-0.07661143516933966,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f19.png,f19.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f19.png,test
ACETONE(1%)__seq782__4.500V__R__f20,ACETONE(1%)__seq782__4.500V__R,ACETONE(1%),0,782,R,Relaxation,0,4.5,6,20,9500,9.5,0.22,13.131857292005336,0.5358267949789964,0.8443279255020152,0.0,0.0,1.1641906689653387,0.020318960294440528,-0.14407937482231836,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__R/f20.png,f20.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__R/f20.png,test
ACETONE(1%)__seq782__4.500V__S__f01,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,1,0,0.0,0.22,0.0,0.0,1.0,0.0,0.0,48.91693400646768,0.8537615583936421,0.0,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f01.png,f01.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f01.png,train
ACETONE(1%)__seq782__4.500V__S__f02,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,2,500,0.5,0.22,0.6911503837897545,0.6374239897486896,0.7705132427757893,2.868407953869103,2.868407953869103,49.969275758825916,0.8721283868285002,1.0523417523582381,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f02.png,f02.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f02.png,train
ACETONE(1%)__seq782__4.500V__S__f03,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,3,1000,1.0,0.22,1.382300767579509,0.9822872507286886,0.18738131458572474,4.420292628279099,4.420292628279099,47.843446582631955,0.835025668368957,-2.1258291761939603,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f03.png,f03.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f03.png,train
ACETONE(1%)__seq782__4.500V__S__f04,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,4,1500,1.5,0.22,2.0734511513692633,0.8763066800438637,-0.48175367410171505,3.9433800601973865,3.9433800601973865,44.465048896045936,0.7760615052962714,-3.3783976865860197,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f04.png,f04.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f04.png,train
ACETONE(1%)__seq782__4.500V__S__f05,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,5,2000,2.0,0.22,2.764601535159018,0.36812455268467814,-0.9297764858882513,1.6565604870810517,1.6565604870810517,27.072931631571393,0.4725117951382412,-17.392117264474543,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f05.png,f05.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f05.png,train
ACETONE(1%)__seq782__4.500V__S__f06,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,6,2500,2.5,0.22,3.4557519189487724,-0.3090169943749473,-0.9510565162951536,-1.3905764746872629,1.3905764746872629,4.418298318127314,0.0771138529866495,-22.65463331344408,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f06.png,f06.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f06.png,train
ACETONE(1%)__seq782__4.500V__S__f07,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,7,3000,3.0,0.22,4.146902302738527,-0.8443279255020149,-0.5358267949789971,-3.7994756647590666,3.7994756647590666,-14.423922984648025,-0.25174494713619555,-18.84222130277534,neg,0,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f07.png,f07.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f07.png,train
ACETONE(1%)__seq782__4.500V__S__f08,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,8,3500,3.5,0.22,4.838052686528282,-0.9921147013144779,0.12533323356430423,-4.464516155915151,4.464516155915151,-21.05273667255888,-0.3674395714915078,-6.628813687910855,neg,0,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f08.png,f08.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f08.png,train
ACETONE(1%)__seq782__4.500V__S__f09,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,9,4000,4.0,0.22,5.529203070318036,-0.684547105928689,0.7289686274214112,-3.0804619766791004,3.0804619766791004,-9.291513358343604,-0.16216750059613164,11.761223314215275,neg,0,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f09.png,f09.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f09.png,train
ACETONE(1%)__seq782__4.500V__S__f10,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,10,4500,4.5,0.22,6.22035345410779,-0.06279051952931415,0.9980267284282716,-0.2825573378819137,0.2825573378819137,8.924636992651818,0.1557643000670592,18.21615035099542,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f10.png,f10.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f10.png,train
ACETONE(1%)__seq782__4.500V__S__f11,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,11,5000,5.0,0.22,6.911503837897545,0.5877852522924729,0.8090169943749476,2.6450336353161283,2.6450336353161283,23.917184673732592,0.4174336203641595,14.992547681080774,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f11.png,f11.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f11.png,train
ACETONE(1%)__seq782__4.500V__S__f12,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,12,5500,5.5,0.22,7.602654221687299,0.968583161128631,0.2486898871648554,4.358624225078839,4.358624225078839,28.359758305515378,0.4949711575010513,4.4425736317827855,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f12.png,f12.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f12.png,train
ACETONE(1%)__seq782__4.500V__S__f13,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,13,6000,6.0,0.22,8.293804605477053,0.90482705246602,-0.4257792915650717,4.07172173609709,4.07172173609709,23.18265545465581,0.40461366703916685,-5.177102850859569,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f13.png,f13.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f13.png,train
ACETONE(1%)__seq782__4.500V__S__f14,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,14,6500,6.5,0.22,8.984954989266807,0.42577929156507394,-0.9048270524660189,1.9160068120428326,1.9160068120428326,10.13263337500067,0.176847814291227,-13.050022079655138,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f14.png,f14.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f14.png,train
ACETONE(1%)__seq782__4.500V__S__f15,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,15,7000,7.0,0.22,9.676105373056563,-0.24868988716485477,-0.9685831611286311,-1.1191044922418465,1.1191044922418465,-4.650239452079073,-0.08116198944491688,-14.782872827079743,neg,0,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f15.png,f15.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f15.png,train
ACETONE(1%)__seq782__4.500V__S__f16,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,16,7500,7.5,0.22,10.367255756846317,-0.8090169943749472,-0.5877852522924735,-3.6405764746872626,3.6405764746872626,-21.922022087023056,-0.3826114641134712,-17.271782634943982,neg,0,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f16.png,f16.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f16.png,train
ACETONE(1%)__seq782__4.500V__S__f17,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,17,8000,8.0,0.22,11.058406140636071,-0.9980267284282716,0.0627905195293126,-4.491120277927222,4.491120277927222,-26.926806193528286,-0.46996142512347006,-5.00478410650523,neg,0,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f17.png,f17.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f17.png,train
ACETONE(1%)__seq782__4.500V__S__f18,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,18,8500,8.5,0.22,11.749556524425826,-0.7289686274214123,0.6845471059286878,-3.2803588233963556,3.2803588233963556,-14.17985133948982,-0.2474850933174256,12.746954854038465,neg,0,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f18.png,f18.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f18.png,train
ACETONE(1%)__seq782__4.500V__S__f19,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,19,9000,9.0,0.22,12.44070690821558,-0.12533323356430578,0.9921147013144777,-0.563999551039376,0.563999551039376,10.421832048610103,0.18189528333811203,24.60168338809992,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f19.png,f19.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f19.png,train
ACETONE(1%)__seq782__4.500V__S__f20,ACETONE(1%)__seq782__4.500V__S,ACETONE(1%),0,782,S,Stimulus,1,4.5,6,20,9500,9.5,0.22,13.131857292005336,0.5358267949789964,0.8443279255020152,2.411220577405484,2.411220577405484,23.17704555698722,0.40451575585415006,12.755213508377118,pos,2,56.444406559626565,1.3,2.896,3.0935751329900496,ACETONE(1%)__seq782__4.500V__S/f20.png,f20.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq782__4.500V__S/f20.png,train
ACETONE(1%)__seq783__4.900V__R__f01,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,1,0,0.0,0.22,0.0,0.0,1.0,0.0,0.0,17.926253400176382,0.3128721443799065,0.0,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f01.png,f01.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f01.png,train
ACETONE(1%)__seq783__4.900V__R__f02,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,2,500,0.5,0.22,0.6911503837897545,0.6374239897486896,0.7705132427757893,0.0,0.0,16.25178721809361,0.28364719628926327,-1.6744661820827709,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f02.png,f02.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f02.png,train
ACETONE(1%)__seq783__4.900V__R__f03,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,3,1000,1.0,0.22,1.382300767579509,0.9822872507286886,0.18738131458572474,0.0,0.0,13.938003521320244,0.24326405260160192,-2.313783696773367,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f03.png,f03.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f03.png,train
ACETONE(1%)__seq783__4.900V__R__f04,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,4,1500,1.5,0.22,2.0734511513692633,0.8763066800438637,-0.48175367410171505,0.0,0.0,11.030572478223645,0.19251980812487313,-2.907431043096599,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f04.png,f04.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f04.png,train
ACETONE(1%)__seq783__4.900V__R__f05,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,5,2000,2.0,0.22,2.764601535159018,0.36812455268467814,-0.9297764858882513,0.0,0.0,9.013085885657969,0.15730802446976072,-2.0174865925656764,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f05.png,f05.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f05.png,train
ACETONE(1%)__seq783__4.900V__R__f06,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,6,2500,2.5,0.22,3.4557519189487724,-0.3090169943749473,-0.9510565162951536,0.0,0.0,8.630393507976647,0.150628782456936,-0.38269237768132136,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f06.png,f06.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f06.png,train
ACETONE(1%)__seq783__4.900V__R__f07,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,7,3000,3.0,0.22,4.146902302738527,-0.8443279255020149,-0.5358267949789971,0.0,0.0,7.8821155585229485,0.13756886851889724,-0.7482779494536986,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f07.png,f07.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f07.png,train
ACETONE(1%)__seq783__4.900V__R__f08,ACETONE(1%)__seq783__4.900V__R,ACETONE(1%),0,783,R,Relaxation,0,4.9,7,8,3500,3.5,0.22,4.838052686528282,-0.9921147013144779,0.12533323356430423,0.0,0.0,6.559604933655165,0.11448670372234683,-1.3225106248677836,pos,2,59.45299813838501,1.3,2.896,3.1957778720239154,ACETONE(1%)__seq783__4.900V__R/f08.png,f08.png,/content/drive/MyDrive/IPMC_outputs/preprocess_20260207_154543/dataset/images/ACETONE(1%)__seq783__4.900V__R/f08.png,train
